"tt0088083","Adventure,Comedy,Sci-Fi"
"tt0088117","Horror,Thriller"
"tt0088128","Comedy,Romance"
"tt0088146","Crime,Drama,Mystery"
"tt0088161","Comedy,Fantasy,Romance"
"tt0088170","Action,Adventure,Sci-Fi"
"tt0088172","Romance,Sci-Fi"
"tt0088178","Documentary,Music"
"tt0088184","Comedy,Drama"
"tt0088194","Action,Crime,Drama"
"tt0088206","Action,Adventure,Fantasy"
"tt0088247","Action,Sci-Fi"
"tt0088258","Comedy,Music"
"tt0088272","Crime,Mystery,Thriller"
"tt0088275","Biography,Documentary,History"
"tt0088286","Comedy,Music"
"tt0088323","Adventure,Drama,Family"
"tt0088414","Comedy,Romance"
"tt0088461","Comedy,Drama"
"tt0088680","Comedy,Crime,Drama"
"tt0088683","Drama,Mystery"
"tt0088707","Drama,Sport"
"tt0088708","Action,Adventure,Romance"
"tt0088748","Adventure,Animation,Comedy"
"tt0088763","Adventure,Comedy,Sci-Fi"
"tt0088794","Comedy,Romance"
"tt0088814","Action,Adventure,Animation"
"tt0088846","Drama,Sci-Fi"
"tt0088847","Comedy,Drama"
"tt0088850","Comedy"
"tt0088889","Comedy,Horror,Thriller"
"tt0088915","Drama,Music,Musical"
"tt0088930","Comedy,Crime,Mystery"
"tt0088933","Comedy,Drama,Sci-Fi"
"tt0088936","Action,Crime,Drama"
"tt0088939","Drama"
"tt0088944","Action,Adventure,Thriller"
"tt0088979","Family,Sci-Fi"
"tt0088993","Horror,Thriller"
"tt0089003","Action,Crime,Drama"
"tt0089013","Horror"
"tt0089017","Comedy,Drama"
"tt0089087","Action,Adventure,Drama"
"tt0089092","Action,Adventure,Drama"
"tt0089114","Adventure,Comedy,Family"
"tt0089118","Action,Thriller"
"tt0089126","Comedy,Drama"
"tt0089153","Adventure,Drama"
"tt0089155","Comedy,Crime,Mystery"
"tt0089173","Horror,Mystery,Thriller"
"tt0089175","Horror,Thriller"
"tt0089200","Comedy,Fantasy,Horror"
"tt0089208","Comedy,Music,Romance"
"tt0089218","Adventure,Comedy,Family"
"tt0089222","Action,Comedy,Mystery"
"tt0089276","Drama,History,War"
"tt0089346","Comedy,Drama,Thriller"
"tt0089348","Action,Thriller"
"tt0089360","Drama,Mystery,Thriller"
"tt0089370","Action,Adventure,Comedy"
"tt0089374","Action,Comedy,Crime"
"tt0089393","Comedy,Romance"
"tt0089421","Action,Adventure,Comedy"
"tt0089424","Drama"
"tt0089457","Adventure,Comedy,Drama"
"tt0089461","Action,Comedy,Drama"
"tt0089469","Adventure,Fantasy,Romance"
"tt0089470","Action,Drama"
"tt0089489","Action,Horror,Mystery"
"tt0089504","Comedy"
"tt0089530","Action,Adventure,Sci-Fi"
"tt0089543","Comedy,Thriller"
"tt0089560","Biography,Drama"
"tt0089591","Action,Comedy,Crime"
"tt0089601","Comedy,Romance"
"tt0089603","Biography,Drama"
"tt0089604","Action,Drama,Thriller"
"tt0089606","Comedy,Drama"
"tt0089643","Comedy,Drama,Romance"
"tt0089670","Adventure,Comedy"
"tt0089686","Horror"
"tt0089695","Action,Comedy,Crime"
"tt0089730","Comedy,Fantasy,Horror"
"tt0089748","Drama"
"tt0089755","Biography,Drama,Romance"
"tt0089767","Western"
"tt0089791","Adventure,Comedy,Family"
"tt0089822","Comedy"
"tt0089826","Comedy"
"tt0089839","Comedy"
"tt0089841","Comedy,Crime,Drama"
"tt0089853","Comedy,Fantasy,Romance"
"tt0089869","Drama,Mystery,Sci-Fi"
"tt0089880","Action,Adventure,Thriller"
"tt0089881","Action,Drama"
"tt0089885","Comedy,Horror,Sci-Fi"
"tt0089886","Comedy,Romance,Sci-Fi"
"tt0089893","Action,Adventure,Fantasy"
"tt0089901","Action,Adventure,Comedy"
"tt0089907","Comedy,Horror,Sci-Fi"
"tt0089908","Adventure,Family,Fantasy"
"tt0089913","Adventure,Drama,History"
"tt0089927","Drama,Sport"
"tt0089941","Action,Adventure,Drama"
"tt0089960","Drama,Romance"
"tt0089961","Adventure,Family,Fantasy"
"tt0089981","Comedy,Romance"
"tt0090015","Documentary,History,War"
"tt0090021","Horror"
"tt0090022","Action,Crime,Drama"
"tt0090056","Adventure,Comedy"
"tt0090060","Drama,Romance"
"tt0090094","Comedy,Horror,Sci-Fi"
"tt0090095","Thriller"
"tt0090098","Comedy"
"tt0090103","Comedy,Drama,Romance"
"tt0090115","Comedy"
"tt0090142","Comedy,Fantasy"
"tt0090180","Action,Crime,Drama"
"tt0090190","Action,Comedy,Horror"
"tt0090196","Comedy,Fantasy,Horror"
"tt0090248","Action,Animation,Fantasy"
"tt0090264","Action,Adventure,Thriller"
"tt0090270","Drama,Romance,Sport"
"tt0090274","Comedy"
"tt0090305","Comedy,Romance,Sci-Fi"
"tt0090315","Animation,Comedy,Drama"
"tt0090319","Drama,Music"
"tt0090327","Horror,Mystery,Thriller"
"tt0090329","Crime,Drama,Romance"
"tt0090350","Action,Crime,Drama"
"tt0090357","Adventure,Fantasy,Mystery"
"tt0090366","Comedy,Drama"
"tt0090555","Adventure,Comedy"
"tt0090563","Drama,Romance"
"tt0090570","Biography,Drama,Romance"
"tt0090583","Comedy,Drama,Romance"
